Company	Job	Number of reviews	Overall_Data_Science	Culture & Values_Data_Science	Work/Life Balance_Data_Science	Senior Management_Data_Science	Comp & Benefits_Data_Science	Career Opportunities_Data_Science
Pure Storage	data+scientist	107	4.4	4.6	4.2	4.6	4.4	4.4
GE Aviation	data+scientist	451	3.8	3.9	3.3	3.4	3.6	3.9
Wells Fargo	data+scientist	10389	3.3	3.3	3.2	2.9	3.4	3.4
Varian Medical Systems	data+scientist	217	3.6	3.6	3.5	3.1	3.6	2.9
"Siemens Energy &amp; Automation"	data+scientist	164	3.3	3.3	3.4	2.6	3.1	2.9
New Relic	data+scientist	87	3.7	3.7	4.1	3.6	3.3	3.6
Isilon, A Division of EMC	data+scientist	76	3.2	3.4	3.6	3.2	3.8	3.2
Construction Industry Service Corporation	data+scientist	90	3.5	3.2	3.4	2.6	3.3	3.2
AccessData	data+scientist	74	2.1	2.1	2.8	2.1	2.4	2.3
Angie s List	data+scientist	269	3.0	3.4	3.4	2.6	3.4	2.8
SolarCity	data+scientist	1196	3.9	4.2	3.4	3.7	3.7	4.1
J. C. Penney	data+scientist	3642	3.1	3.2	3.0	2.7	2.8	2.7
Kiva Systems	data+scientist	59	2.7	2.4	1.8	2.3	3.6	2.6
Aerotek	data+scientist	1179	3.2	3.3	2.6	2.9	2.8	3.2
Cadence Design Systems	data+scientist	492	3.8	3.8	3.8	3.6	3.8	3.6
Fusion-io	data+scientist	388	3.2	3.1	2.8	2.6	3.5	3.0
NIKE	data+scientist	1497	4.0	4.2	3.6	3.3	3.7	3.5
Tekelec	data+scientist	66	3.6	3.5	3.8	2.9	3.6	3.2
Enova	data+scientist	155	2.4	2.4	2.7	2.2	2.8	2.5
Panasonic Avionics Corporation	data+scientist	179	3.7	3.8	3.5	3.0	3.7	3.3
Disney Internet Group	data+scientist	72	3.5	3.7	4.1	2.8	3.3	3.1
Advent Software	data+scientist	246	3.4	3.9	4.0	2.7	3.2	2.9
The Climate Corp	data+scientist	64	3.2	3.2	3.5	2.8	3.8	3.1
Epsilon	data+scientist	435	3.1	3.1	3.2	2.7	3.1	2.9
Panasonic Automotive Systems Company	data+scientist	97	3.7	3.8	3.3	3.4	3.7	3.7
MobileIron	data+scientist	101	3.6	3.8	3.4	3.3	3.8	3.5
Chegg	data+scientist	107	4.3	4.2	4.4	3.9	4.1	3.8
Answers Corporation	data+scientist	51	3.0	2.7	3.0	2.5	3.1	2.6
SirsiDynix	data+scientist	92	4.2	4.3	4.7	4.0	3.4	4.2
Ixia	data+scientist	173	3.3	3.1	2.9	2.9	3.4	2.9
Ooyala	data+scientist	88	4.0	4.2	4.0	3.7	3.9	3.9
Blackboard	data+scientist	248	3.0	2.8	3.2	2.5	3.2	2.6
Pelco	data+scientist	56	2.7	2.8	3.5	2.0	3.2	2.4
Adchemy	data+scientist	44	3.4	3.3	3.5	3.1	3.6	3.2
UST Global	data+scientist	645	2.7	2.9	3.1	2.5	2.4	2.7
Lucid Software	data+scientist	24	5.0	4.8	4.7	4.7	4.5	4.8
Comverse	data+scientist	277	2.3	2.6	3.0	1.8	2.5	1.9
Pitney Bowes	data+scientist	803	3.2	3.1	3.5	2.7	3.3	2.8
Thermo Fisher Scientific	data+scientist	886	3.1	3.0	3.1	2.6	3.1	3.0
