Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
NV Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	48	3.2	2.9	3.2	3.1	3.9	3.3	0.6	Michael W. Yackira	71
SM Energy	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	47	3.3	3.4	3.1	3.2	4.0	2.9	0.6	Jay Ottoson	87
Brand Energy And Infrastructure Services	Overall	Construction	"Construction, Repair &amp; Maintenance"	47	2.7	2.6	2.6	2.8	3.3	3.2	0.4	Paul T. Wood	78
Forum Oilfield	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	46	3	2.9	3.1	2.7	2.8	2.8	0.6	"C. Christopher (""Cris) Gaut"	88
Advanced Energy	Overall	Industrial Manufacturing	Manufacturing	45	2.8	2.9	2.8	2.3	2.9	2.4	0.4	Garry W. Rogerson	24
Peabody Energy	Overall	Mining	"Mining &amp; Metals"	44	3	2.8	2.8	2.3	3.3	2.6	0.5	Glenn Kellow	56
Eversource Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	43	3.2	3.2	3.4	2.9	3.9	3.4	0.6	Thomas May	39
NAES	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	43	3.2	2.9	2.7	2.6	3.1	2.9	0.6	Bob Fishman	82
Dover Corporation	Overall	Industrial Manufacturing	Manufacturing	43	3.4	2.9	2.6	2.4	2.8	2.5	0.4	Robert A. Livingston	62
Apex Energy Solutions	Overall	"Department, Clothing, &amp; Shoe Stores"	Retail	42	4.7	4.8	4.9	4.8	4.3	4.5	1.0	Michael Foit	100
Energy Future Holdings	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	42	3.5	3.5	3.3	3.1	3.8	3.0	0.6	John F. Young	70
Energy Transfer Partners	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	41	3.7	3.8	3.7	3.3	4.2	3.3	0.7	Kelcy L. Warren	87
Enphase Energy	Overall	"Electrical &amp; Electronic Manufacturing"	Manufacturing	41	3.2	3.3	3.6	2.7	3.4	2.7	0.3	Paul Nahi	44
GDF SUEZ Energy North America	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	41	3.2	2.7	3.5	2.5	3.0	2.5	0.6	Zin Smati	36
Real Energy Solutions	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	40	3.4	3.7	3.1	3.7	3.4	3.7	0.6	Michael White	69
Chart Industries	Overall	Industrial Manufacturing	Manufacturing	40	3.4	3.7	3.7	3.2	3.9	3.7	0.7	Samuel F. Thomas	92
SandRidge Energy	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	40	3.1	3.7	3.7	2.6	4.2	3.1	0.6	James D. Bennett	54
PECI	Overall	Construction	"Construction, Repair &amp; Maintenance"	35	3.4	3.8	4.2	3.0	3.6	3.0	0.6	Phil Welker	53
Suzlon Wind Energy	Overall	Industrial Manufacturing	Manufacturing	35	3.4	4.5	3.5	3.1	3.2	3.5	0.9	Andris Cukurs	92
Linn Energy	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	34	4	4.1	4.4	3.8	4.4	3.8	0.9	Mark E. Ellis	100
Austin Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	34	2.9	2.2	3.8	1.8	3.2	2.2	0.4	Larry Weis	47
MidAmerican Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	34	3.6	3.6	3.3	3.4	3.3	3.3	0.8	Greg Abel	73
CPS Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	33	3.2	3.1	3.8	2.9	3.5	3.0	0.6	Doyle N. Beneby	75
NuStar Energy	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	33	3.9	4.1	3.8	3.6	4.3	3.7	0.7	Brad Barron	100
Spark Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	32	2.2	2.5	2.8	2.1	2.7	2.5	0.3	William Keith Maxwell III	48
