Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
CSE	Overall	"Advertising &amp; Marketing"	Business Services	13	3.4	3.5	3.7	3.1	2.8	3.5	0.6	Lonnie Cooper	100
WestStar Multimedia Entertainment	Overall	Radio	Media	13	2.6	2.7	2.9	2.7	2.7	2.7	0.4	Barry Young	-100
Levy Home Entertainment	Overall	"Media &amp; Entertainment Retail Stores"	Retail	13	2.3	2.1	3.3	2.1	2.4	1.7	0.4	Carol Kloster	40
Fame House	Overall	"Advertising &amp; Marketing"	Business Services	12	3.8	3.6	3.2	3.5	3.1	3.8	0.6	Michael Fiebach	100
Catfish Entertainment	Overall	Consulting	Business Services	12	1.7	2.2	1.7	1.3	1.2	1.8	0.0		
Dover Downs Gaming	Overall	Gambling	"Arts, Entertainment &amp; Recreation"	12	3.3	3.3	3.0	2.7	3.4	3.4	0.5	Denis McGlynn	85
Voltage Entertainment USA	Overall	"Advertising &amp; Marketing"	Business Services	12	1.8	1.9	2.3	1.7	2.5	1.8	0.3		
Artix Entertainment	Overall	Video Games	Media	12	3	3.0	4.5	2.7	3.4	2.7	0.5	Artix von Krieger	70
SHFL Entertainment	Overall	"Sports &amp; Recreation"	"Arts, Entertainment &amp; Recreation"	12	4.1	4.4	4.0	3.7	4.2	3.8	0.9		
HIT Entertainment	Overall	"TV Broadcast &amp; Cable Networks"	Media	12	2.9	3.0	3.2	2.4	3.0	2.8	0.6	Bryan G. Stockton	27
Unknown Worlds Entertainment	Overall	Video Games	Media	12	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Charlie Cleveland	0
Jambox Entertainment	Overall	"Music Production &amp; Distribution"	Media	11	3.3	3.3	4.0	2.8	2.5	2.9	0.5		
Bento Box Entertainment	Overall	"Motion Picture Production &amp; Distribution"	Media	11	2.7	2.6	2.3	2.4	2.8	2.0	0.2	Scott Greenberg	33
Vivendi Entertainment	Overall	"Motion Picture Production &amp; Distribution"	Media	11	3.1	2.2	3.1	2.2	4.2	3.4	0.2	Tom O Malley	20
GRB Entertainment	Overall	"TV Broadcast &amp; Cable Networks"	Media	10	3.9	3.7	3.8	3.4	3.1	3.0	0.7	Gary R. Benz	100
